Id,_labkeyurl_Id,avgKinship,birth,death,gender,geographic_origin,lsid,species
m03610,/study/mGAP/participant.view?participantId=m03610,0.0010461303773505574,1996-05-22 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m03610,RHESUS MACAQUE
m03614,/study/mGAP/participant.view?participantId=m03614,0.0018497625416453102,2000-04-01 00:00:00.000,2019-09-23 12:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m03614,RHESUS MACAQUE
