mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00825,f,India,RHESUS MACAQUE,865654,Whole Genome: Deep Coverage,SRR7827171,335796859
m00826,m,India,RHESUS MACAQUE,865655,Whole Genome: Deep Coverage,SRR7827129,295468493
m00827,f,India,RHESUS MACAQUE,865656,Whole Genome: Deep Coverage,SRR7865711,293153481
m00828,m,India,RHESUS MACAQUE,865658,Whole Genome: Deep Coverage,SRR7827170,330954911
m00829,m,India,RHESUS MACAQUE,865659,Whole Genome: Deep Coverage,SRR7827145,376466436
m00830,m,India,RHESUS MACAQUE,865661,Whole Genome: Deep Coverage,SRR7865710,314289938
m00831,f,India,RHESUS MACAQUE,865662,Whole Genome: Deep Coverage,SRR7865709,330248019
m00832,f,India,RHESUS MACAQUE,865664,Whole Genome: Deep Coverage,SRR7827144,364835810
m00833,m,India,RHESUS MACAQUE,865666,Whole Genome: Deep Coverage,SRR7865708,291045049
m00834,f,India,Macaca mulatta,865667,Whole Genome: Deep Coverage,SRR1929310,516774903
m00835,f,India,Macaca mulatta,865669,Whole Genome: Deep Coverage,SRR1929367,547315536
m00836,f,India,Macaca mulatta,865671,Whole Genome: Deep Coverage,SRR1964582,478018266
m00837,m,India,Macaca mulatta,865673,Whole Genome: Deep Coverage,SRR1929313,486000353
m00838,m,India,Macaca mulatta,865675,Whole Genome: Deep Coverage,SRR1929382,530486532
m00839,m,India,Macaca mulatta,865677,Whole Genome: Deep Coverage,SRR1944141,507326266
m00840,m,India,Macaca mulatta,865678,Whole Genome: Deep Coverage,SRR1964601,557996023
m00841,m,India,Macaca mulatta,865679,Whole Genome: Deep Coverage,SRR1944145,576163167
m00842,m,India,Macaca mulatta,865680,Whole Genome: Deep Coverage,SRR1964604,520407265
m00843,m,India,Macaca mulatta,865681,Whole Genome: Deep Coverage,SRR1944149,547924953
m00844,m,India,Macaca mulatta,865682,Whole Genome: Deep Coverage,SRR1944152,570370938
m00845,m,India,Macaca mulatta,865683,Whole Genome: Deep Coverage,SRR1944156,530435066
m00846,f,India,Macaca mulatta,865684,Whole Genome: Deep Coverage,SRR1951007,515693966
m00847,f,India,Macaca mulatta,865685,Whole Genome: Deep Coverage,SRR1951011,806895544
m00848,m,India,Macaca mulatta,865686,Whole Genome: Deep Coverage,SRR1951016,636987306
m00849,f,India,Macaca mulatta,865687,Whole Genome: Deep Coverage,SRR1927133,614987061
m00850,f,India,Macaca mulatta,865688,Whole Genome: Deep Coverage,SRR1929270,468765599
m00851,f,India,Macaca mulatta,865689,Whole Genome: Deep Coverage,SRR1929275,586324669
m00852,m,India,Macaca mulatta,865690,Whole Genome: Deep Coverage,SRR1929278,480395516
m00853,m,India,Macaca mulatta,865691,Whole Genome: Deep Coverage,SRR1929293,723816069
m00854,m,India,Macaca mulatta,865693,Whole Genome: Deep Coverage,SRR1929283,567819638
m00855,f,India,Macaca mulatta,865694,Whole Genome: Deep Coverage,SRR1929286,557840647
m00856,f,India,Macaca mulatta,865695,Whole Genome: Deep Coverage,SRR1929307,475538958
m00857,m,India,Macaca mulatta,865697,Whole Genome: Deep Coverage,SRR1929370,547031468
m00858,f,India,Macaca mulatta,865698,Whole Genome: Deep Coverage,SRR1929373,551407732
m00859,m,India,Macaca mulatta,865699,Whole Genome: Deep Coverage,SRR1929379,519369837
m00860,m,India,Macaca mulatta,865700,Whole Genome: Deep Coverage,SRR1929376,489853394
m00861,m,India,Macaca mulatta,865701,Whole Genome: Deep Coverage,SRR1951153,644443054
m00862,f,India,Macaca mulatta,865702,Whole Genome: Deep Coverage,SRR1964607,660268161
m00863,f,India,Macaca mulatta,865703,Whole Genome: Deep Coverage,SRR1951144,660407288
m00864,f,India,Macaca mulatta,865704,Whole Genome: Deep Coverage,SRR1951141,637074990
m00865,m,India,Macaca mulatta,865705,Whole Genome: Deep Coverage,SRR1951147,576493386
m00866,m,India,Macaca mulatta,865706,Whole Genome: Deep Coverage,SRR1951150,621895454
m00867,f,India,Macaca mulatta,865707,Whole Genome: Deep Coverage,SRR1964610,632078549
m00868,m,India,Macaca mulatta,865708,Whole Genome: Deep Coverage,SRR1964613,596783006
m00869,f,India,Macaca mulatta,865709,Whole Genome: Deep Coverage,SRR1951102,585817936
m00870,m,India,Macaca mulatta,865710,Whole Genome: Deep Coverage,SRR1951105,610121210
m00871,m,India,Macaca mulatta,865711,Whole Genome: Deep Coverage,SRR1951108,626327193
m00872,m,India,Macaca mulatta,865712,Whole Genome: Deep Coverage,SRR1951111,577940768
m00873,m,India,Macaca mulatta,865713,Whole Genome: Deep Coverage,SRR1951114,609061958
m00874,f,India,Macaca mulatta,865714,Whole Genome: Deep Coverage,SRR1964616,593150368
m00875,f,India,Macaca mulatta,865715,Whole Genome: Deep Coverage,SRR1964619,597924490
m00876,f,India,Macaca mulatta,865716,Whole Genome: Deep Coverage,SRR1951117,591970545
m00877,f,India,Macaca mulatta,865717,Whole Genome: Deep Coverage,SRR1951120,577179926
m00878,f,India,RHESUS MACAQUE,865718,Whole Genome: Deep Coverage,SRR7827142,357811717
m00879,m,India,RHESUS MACAQUE,865719,Whole Genome: Deep Coverage,SRR7827143,366546764
m00880,m,India,RHESUS MACAQUE,865720,Whole Genome: Deep Coverage,SRR7827146,371213834
m00881,m,Hybrid (China / India),RHESUS MACAQUE,865721,Whole Genome: Deep Coverage,SRR7827174,353430687
m00882,m,India,RHESUS MACAQUE,865722,Whole Genome: Deep Coverage,SRR7827138,367323689
m00883,m,India,RHESUS MACAQUE,865723,Whole Genome: Deep Coverage,SRR7827139,358661135
m00884,f,INDIA,RHESUS MACAQUE,865724,Whole Genome: Deep Coverage,SRR7827137,357201709
m02166,m,India,Macaca mulatta,866043,Whole Genome: Deep Coverage,SRR1951033,578579188
m02167,m,India,Macaca mulatta,866044,Whole Genome: Deep Coverage,SRR1951030,624827688
m02168,m,India,Macaca mulatta,866045,Whole Genome: Deep Coverage,SRR1951036,596488456
m02169,m,India,Macaca mulatta,866046,Whole Genome: Deep Coverage,SRR1951059,521849775
m02170,f,India,Macaca mulatta,866047,Whole Genome: Deep Coverage,SRR1951056,612100968
m02171,m,India,Macaca mulatta,866048,Whole Genome: Deep Coverage,SRR1951051,642498006
m02172,f,India,Macaca mulatta,866049,Whole Genome: Deep Coverage,SRR1951048,604730576
m02173,f,India,Macaca mulatta,866050,Whole Genome: Deep Coverage,SRR1951041,592315049
m02174,m,India,Macaca mulatta,866051,Whole Genome: Deep Coverage,SRR1951074,636609339
m02175,f,India,Macaca mulatta,866052,Whole Genome: Deep Coverage,SRR1640559,615387143
m02176,f,China,Macaca mulatta,866053,Whole Genome: Deep Coverage,SRR1944102,715437872
m02177,f,China,Macaca mulatta,866054,Whole Genome: Deep Coverage,SRR1964571,567283128
m02178,f,China,Macaca mulatta,866055,Whole Genome: Deep Coverage,SRR1964575,542056402
m02179,f,China,Macaca mulatta,866056,Whole Genome: Deep Coverage,SRR1964578,549635922
m02180,f,China,Macaca mulatta,866057,Whole Genome: Deep Coverage,SRR1944106,515600337
m02181,f,India,Macaca mulatta,866058,Whole Genome: Deep Coverage,SRR1944120,473862493
m02182,m,India,Macaca mulatta,866059,Whole Genome: Deep Coverage,SRR1944123,507566989
m02183,f,India,Macaca mulatta,866060,Whole Genome: Deep Coverage,SRR1944126,523327767
m02184,m,India,Macaca mulatta,866061,Whole Genome: Deep Coverage,SRR1944229,491673676
m02185,f,India,Macaca mulatta,866062,Whole Genome: Deep Coverage,SRR1944129,905488660
m02186,f,India,Macaca mulatta,866063,Whole Genome: Deep Coverage,SRR1964592,542933623
m02187,m,India,Macaca mulatta,866064,Whole Genome: Deep Coverage,SRR1964595,615779364
m02188,f,India,Macaca mulatta,866065,Whole Genome: Deep Coverage,SRR1964598,684287168
m02189,m,India,Macaca mulatta,866067,Whole Genome: Deep Coverage,SRR1944138,556916967
m02190,f,India,Macaca mulatta,866068,Whole Genome: Deep Coverage,SRR1944134,558694349
m02191,f,China,Macaca mulatta,866069,Whole Genome: Deep Coverage,SRR1952123,622848992
m02192,f,India,Macaca mulatta,866071,Whole Genome: Deep Coverage,SRR1951123,506115113
m02193,f,India,Macaca mulatta,866072,Whole Genome: Deep Coverage,SRR1952198,622575651
m02194,m,India,Macaca mulatta,866073,Whole Genome: Deep Coverage,SRR1952201,578260544
m02195,m,India,Macaca mulatta,866074,Whole Genome: Deep Coverage,SRR1952140,491239897
m02196,m,India,Macaca mulatta,866075,Whole Genome: Deep Coverage,SRR1952142,621353878
m02197,f,India,Macaca mulatta,866076,Whole Genome: Deep Coverage,SRR1952145,639784989
m02198,f,India,Macaca mulatta,866077,Whole Genome: Deep Coverage,SRR1952148,525463629
m02199,m,India,Macaca mulatta,866078,Whole Genome: Deep Coverage,SRR1952154,590731931
m02200,f,India,Macaca mulatta,866079,Whole Genome: Deep Coverage,SRR1952151,593410653
m02201,m,India,Macaca mulatta,866080,Whole Genome: Deep Coverage,SRR1952157,648481648
m02202,m,India,Macaca mulatta,866081,Whole Genome: Deep Coverage,SRR1952160,573261883
m02203,f,India,Macaca mulatta,866082,Whole Genome: Deep Coverage,SRR1952166,649850622
m02204,m,India,Macaca mulatta,866083,Whole Genome: Deep Coverage,SRR1952163,650021281
m02205,f,India,Macaca mulatta,866084,Whole Genome: Deep Coverage,SRR1951019,628346760
m02206,f,India,Macaca mulatta,866085,Whole Genome: Deep Coverage,SRR1927121,595390056
m02207,m,India,Macaca mulatta,866087,Whole Genome: Deep Coverage,SRR1927125,615541245
m02208,f,India,Macaca mulatta,866089,Whole Genome: Deep Coverage,SRR1929317,551756915
m02209,f,India,Macaca mulatta,866090,Whole Genome: Deep Coverage,SRR1929320,528320937
m02210,f,India,Macaca mulatta,866091,Whole Genome: Deep Coverage,SRR1929386,547872800
m02211,f,India,Macaca mulatta,866092,Whole Genome: Deep Coverage,SRR1929323,494238824
m02212,f,India,Macaca mulatta,866093,Whole Genome: Deep Coverage,SRR1929326,589901637
m02213,f,India,Macaca mulatta,866094,Whole Genome: Deep Coverage,SRR1929329,542491164
m02214,f,India,Macaca mulatta,866095,Whole Genome: Deep Coverage,SRR1929332,577302465
m02215,f,India,Macaca mulatta,866096,Whole Genome: Deep Coverage,SRR1929335,603286570
m02216,f,India,Macaca mulatta,866097,Whole Genome: Deep Coverage,SRR1929338,578992912
m02217,f,India,Macaca mulatta,866098,Whole Genome: Deep Coverage,SRR1929344,589907327
m03541,f,India,Macaca mulatta,866304,Whole Genome: Deep Coverage,SRR5628054,453990643
m03542,m,India,Macaca mulatta,866305,Whole Genome: Deep Coverage,SRR5628059,448065604
m03543,f,India,Macaca mulatta,866306,Whole Genome: Deep Coverage,SRR5628055,470714900
m03544,m,India,Macaca mulatta,866307,Whole Genome: Deep Coverage,SRR5628056,486302944
m03545,m,India,Macaca mulatta,866308,Whole Genome: Deep Coverage,SRR5628057,482062369
m03546,f,India,Macaca mulatta,866309,Whole Genome: Deep Coverage,SRR5628058,473742092
m03547,f,India,Macaca mulatta,866310,Whole Genome: Deep Coverage,SRR5628079,466423802
m03548,m,India,Macaca mulatta,866311,Whole Genome: Deep Coverage,SRR5628060,459562305
m03549,m,India,Macaca mulatta,866312,Whole Genome: Deep Coverage,SRR5628063,475066055
m03550,m,India,Macaca mulatta,866313,Whole Genome: Deep Coverage,SRR5628078,459372729
m03551,f,India,Macaca mulatta,866314,Whole Genome: Deep Coverage,SRR5628080,473907727
m03552,f,India,Macaca mulatta,866315,Whole Genome: Deep Coverage,SRR5628082,476080469
m03553,f,India,Macaca mulatta,866316,Whole Genome: Deep Coverage,SRR5628081,456794878
m03554,m,India,Macaca mulatta,866317,Whole Genome: Deep Coverage,SRR5628086,484158026
m03555,m,India,Macaca mulatta,866318,Whole Genome: Deep Coverage,SRR5628083,480112097
m03556,m,India,Macaca mulatta,866319,Whole Genome: Deep Coverage,SRR5628084,439653652
m03557,m,India,Macaca mulatta,866320,Whole Genome: Deep Coverage,SRR5628089,454186680
m03558,f,India,Macaca mulatta,866321,Whole Genome: Deep Coverage,SRR5628093,472042909
m03559,f,India,Macaca mulatta,866322,Whole Genome: Deep Coverage,SRR5628088,446518344
m03560,f,India,Macaca mulatta,866323,Whole Genome: Deep Coverage,SRR5628092,450654427
m03561,f,India,Macaca mulatta,866324,Whole Genome: Deep Coverage,SRR5628085,480299180
m03562,f,India,Macaca mulatta,866325,Whole Genome: Deep Coverage,SRR5628087,460176758
m03563,m,India,Macaca mulatta,866326,Whole Genome: Deep Coverage,SRR5628090,437818545
m03564,f,India,Macaca mulatta,866327,Whole Genome: Deep Coverage,SRR5628091,432052852
m03565,f,India,Macaca mulatta,866328,Whole Genome: Deep Coverage,SRR5628095,474868928
m03566,f,India,Macaca mulatta,866329,Whole Genome: Deep Coverage,SRR5628094,471927694
m03567,m,India,Macaca mulatta,866330,Whole Genome: Deep Coverage,SRR5628096,469435996
m03568,f,India,Macaca mulatta,866331,Whole Genome: Deep Coverage,SRR5628100,424388526
m03569,f,India,Macaca mulatta,866332,Whole Genome: Deep Coverage,SRR5628099,468513134
m03570,m,India,Macaca mulatta,866333,Whole Genome: Deep Coverage,SRR5628105,459555335
m03571,m,India,Macaca mulatta,866334,Whole Genome: Deep Coverage,SRR5628108,414204294
m03572,f,India,Macaca mulatta,866335,Whole Genome: Deep Coverage,SRR5628097,438777960
m03573,f,India,Macaca mulatta,866336,Whole Genome: Deep Coverage,SRR5628098,466553552
m03574,m,India,Macaca mulatta,866337,Whole Genome: Deep Coverage,SRR5628102,466549626
m03575,m,India,Macaca mulatta,866338,Whole Genome: Deep Coverage,SRR5628111,440892251
m03576,f,India,Macaca mulatta,866339,Whole Genome: Deep Coverage,SRR5628101,434849753
m03577,m,India,Macaca mulatta,866340,Whole Genome: Deep Coverage,SRR5628103,485665771
m03578,m,India,Macaca mulatta,866341,Whole Genome: Deep Coverage,SRR5628107,455894522
m03579,f,India,Macaca mulatta,866342,Whole Genome: Deep Coverage,SRR5628106,453746848
m03580,f,India,Macaca mulatta,866343,Whole Genome: Deep Coverage,SRR5628104,443022173
m03581,f,India,Macaca mulatta,866344,Whole Genome: Deep Coverage,SRR5628109,461921928
m03582,f,India,Macaca mulatta,866345,Whole Genome: Deep Coverage,SRR5628116,483524804
m03583,f,India,Macaca mulatta,866346,Whole Genome: Deep Coverage,SRR5628115,459691605
m03584,m,India,Macaca mulatta,866347,Whole Genome: Deep Coverage,SRR5628110,450074284
m03585,m,India,Macaca mulatta,866348,Whole Genome: Deep Coverage,SRR5628114,469458227
m03586,m,India,Macaca mulatta,866349,Whole Genome: Deep Coverage,SRR5628112,465516876
m03587,m,India,Macaca mulatta,866350,Whole Genome: Deep Coverage,SRR5628113,444057586
m03588,m,India,Macaca mulatta,866351,Whole Genome: Deep Coverage,SRR5628117,443923002
m03589,m,India,Macaca mulatta,866352,Whole Genome: Deep Coverage,SRR5628119,434330607
m03590,m,India,Macaca mulatta,866353,Whole Genome: Deep Coverage,SRR5628125,432076132
m03591,m,India,Macaca mulatta,866354,Whole Genome: Deep Coverage,SRR5628123,440575963
m03592,m,India,Macaca mulatta,866355,Whole Genome: Deep Coverage,SRR5628118,454412901
m03593,m,India,Macaca mulatta,866356,Whole Genome: Deep Coverage,SRR5628120,446635216
m03594,m,India,Macaca mulatta,866357,Whole Genome: Deep Coverage,SRR5628131,426960350
m03595,m,India,Macaca mulatta,866358,Whole Genome: Deep Coverage,SRR5628122,408637273
m03596,m,India,Macaca mulatta,866359,Whole Genome: Deep Coverage,SRR5628121,424528361
m03597,m,India,Macaca mulatta,866360,Whole Genome: Deep Coverage,SRR5628127,442032269
m03598,m,India,Macaca mulatta,866361,Whole Genome: Deep Coverage,SRR5628130,432091055
m03599,m,India,Macaca mulatta,866362,Whole Genome: Deep Coverage,SRR5628135,413705229
m03600,m,India,Macaca mulatta,866363,Whole Genome: Deep Coverage,SRR5628124,425751033
m03601,m,India,Macaca mulatta,866364,Whole Genome: Deep Coverage,SRR5628132,454503521
m03602,m,India,Macaca mulatta,866365,Whole Genome: Deep Coverage,SRR5628126,437375294
m03603,m,India,Macaca mulatta,866366,Whole Genome: Deep Coverage,SRR5628128,447061909
m03604,m,India,Macaca mulatta,866367,Whole Genome: Deep Coverage,SRR5628129,467963978
m03605,m,India,Macaca mulatta,866368,Whole Genome: Deep Coverage,SRR5628133,456517180
m03606,m,India,Macaca mulatta,866369,Whole Genome: Deep Coverage,SRR5628143,454570316
m03630,m,India,Macaca mulatta,866376,Whole Genome: Deep Coverage,SRR5628140,434953146
m03631,m,India,Macaca mulatta,866377,Whole Genome: Deep Coverage,SRR5628136,464104527
m03632,m,India,Macaca mulatta,866378,Whole Genome: Deep Coverage,SRR5628137,430246643
m03633,m,India,Macaca mulatta,866379,Whole Genome: Deep Coverage,SRR5628134,443584383
m03634,m,India,Macaca mulatta,866380,Whole Genome: Deep Coverage,SRR5628139,473002177
m03635,m,India,Macaca mulatta,866381,Whole Genome: Deep Coverage,SRR5628145,470000758
m03636,m,India,Macaca mulatta,866382,Whole Genome: Deep Coverage,SRR5628141,457150568
m03637,m,India,Macaca mulatta,866383,Whole Genome: Deep Coverage,SRR5628142,466015300
m03638,m,India,Macaca mulatta,866384,Whole Genome: Deep Coverage,SRR5628148,465382383
m03639,m,India,Macaca mulatta,866385,Whole Genome: Deep Coverage,SRR5628144,428335373
m03640,m,India,Macaca mulatta,866386,Whole Genome: Deep Coverage,SRR5628152,452581704
m03641,m,India,Macaca mulatta,866387,Whole Genome: Deep Coverage,SRR5628147,438906302
m03642,m,India,Macaca mulatta,866388,Whole Genome: Deep Coverage,SRR5628151,429692553
m03643,m,India,Macaca mulatta,866389,Whole Genome: Deep Coverage,SRR5628146,432646719
m03644,m,India,Macaca mulatta,866390,Whole Genome: Deep Coverage,SRR5628150,445528525
m03645,m,India,Macaca mulatta,866391,Whole Genome: Deep Coverage,SRR5628149,423936198
m03646,m,India,Macaca mulatta,866392,Whole Genome: Deep Coverage,SRR5628157,437488576
m03647,m,India,Macaca mulatta,866393,Whole Genome: Deep Coverage,SRR5628159,452365400
m03648,m,India,Macaca mulatta,866394,Whole Genome: Deep Coverage,SRR5628165,458058234
m03649,m,India,Macaca mulatta,866395,Whole Genome: Deep Coverage,SRR5628153,412061072
m03650,m,India,Macaca mulatta,866396,Whole Genome: Deep Coverage,SRR5628163,424172958
m03651,m,India,Macaca mulatta,866397,Whole Genome: Deep Coverage,SRR5628169,432141848
m03652,m,India,Macaca mulatta,866398,Whole Genome: Deep Coverage,SRR5628158,433900493
m03653,m,India,Macaca mulatta,866399,Whole Genome: Deep Coverage,SRR5628160,397676491
m03654,m,India,Macaca mulatta,866400,Whole Genome: Deep Coverage,SRR5628162,443841131
m03655,m,India,Macaca mulatta,866401,Whole Genome: Deep Coverage,SRR5628161,443380039
m03656,m,India,Macaca mulatta,866402,Whole Genome: Deep Coverage,SRR5628164,428515234
m03657,m,India,Macaca mulatta,866403,Whole Genome: Deep Coverage,SRR5628171,432660648
m03658,m,India,Macaca mulatta,866404,Whole Genome: Deep Coverage,SRR5628172,448363615
m03659,m,India,Macaca mulatta,866405,Whole Genome: Deep Coverage,SRR5628166,431218818
m03660,m,India,Macaca mulatta,866406,Whole Genome: Deep Coverage,SRR5628173,435341317
m03661,m,India,Macaca mulatta,866407,Whole Genome: Deep Coverage,SRR5628167,452951055
m03662,m,India,Macaca mulatta,866408,Whole Genome: Deep Coverage,SRR5628174,419027216
m03663,m,India,Macaca mulatta,866409,Whole Genome: Deep Coverage,SRR5628168,440756967
m03664,m,India,Macaca mulatta,866410,Whole Genome: Deep Coverage,SRR5628170,440906255
m03665,m,India,Macaca mulatta,866411,Whole Genome: Deep Coverage,SRR5628175,468882375
m03666,m,India,Macaca mulatta,866412,Whole Genome: Deep Coverage,SRR5628181,455313082
m03667,m,India,Macaca mulatta,866413,Whole Genome: Deep Coverage,SRR5628180,409895430
m03668,m,India,Macaca mulatta,866414,Whole Genome: Deep Coverage,SRR5628176,436521956
m03669,m,India,Macaca mulatta,866415,Whole Genome: Deep Coverage,SRR5628182,464951250
m03670,m,India,Macaca mulatta,866416,Whole Genome: Deep Coverage,SRR5628177,439058464
m03671,m,India,Macaca mulatta,866417,Whole Genome: Deep Coverage,SRR5628179,448710762
m03672,m,India,Macaca mulatta,866418,Whole Genome: Deep Coverage,SRR5628191,458546137
m03673,m,India,Macaca mulatta,866419,Whole Genome: Deep Coverage,SRR5628178,450600216
m03674,m,India,Macaca mulatta,866420,Whole Genome: Deep Coverage,SRR5628188,447730795
m03675,m,India,Macaca mulatta,866421,Whole Genome: Deep Coverage,SRR5628187,445609055
m03676,m,India,Macaca mulatta,866422,Whole Genome: Deep Coverage,SRR5628186,441912216
m03677,m,India,Macaca mulatta,866423,Whole Genome: Deep Coverage,SRR5628185,449270796
m03678,m,India,Macaca mulatta,866424,Whole Genome: Deep Coverage,SRR5628189,433248357
m03679,m,India,Macaca mulatta,866425,Whole Genome: Deep Coverage,SRR5628184,440946506
m03680,m,India,Macaca mulatta,866426,Whole Genome: Deep Coverage,SRR5628183,434356572
m03681,m,India,Macaca mulatta,866427,Whole Genome: Deep Coverage,SRR5628190,461427679
m03682,m,India,Macaca mulatta,866428,Whole Genome: Deep Coverage,SRR5628196,431905447
m03683,m,India,Macaca mulatta,866429,Whole Genome: Deep Coverage,SRR5628195,392121370
m03684,m,India,Macaca mulatta,866430,Whole Genome: Deep Coverage,SRR5628194,430154003
m03685,m,India,Macaca mulatta,866431,Whole Genome: Deep Coverage,SRR5628192,455461535
m03686,m,India,Macaca mulatta,866432,Whole Genome: Deep Coverage,SRR5628193,438478258
m03687,m,India,Macaca mulatta,866433,Whole Genome: Deep Coverage,SRR5628198,428627819
m03688,m,India,Macaca mulatta,866434,Whole Genome: Deep Coverage,SRR5628202,415331208
m03689,m,India,Macaca mulatta,866435,Whole Genome: Deep Coverage,SRR5628200,413619733
m03690,m,India,Macaca mulatta,866436,Whole Genome: Deep Coverage,SRR5628203,425790100
m03691,m,India,Macaca mulatta,866437,Whole Genome: Deep Coverage,SRR5628199,450684385
m03692,m,India,Macaca mulatta,866438,Whole Genome: Deep Coverage,SRR5628197,466666669
m03693,m,India,Macaca mulatta,866439,Whole Genome: Deep Coverage,SRR5628201,407029467
m03694,m,India,Macaca mulatta,866440,Whole Genome: Deep Coverage,SRR5628207,448635496
m03695,m,India,Macaca mulatta,866441,Whole Genome: Deep Coverage,SRR5628204,413535363
m03696,m,India,Macaca mulatta,866442,Whole Genome: Deep Coverage,SRR5628205,451935626
m03697,m,India,Macaca mulatta,866443,Whole Genome: Deep Coverage,SRR5628206,458387446
m03698,m,India,Macaca mulatta,866444,Whole Genome: Deep Coverage,SRR5628226,476824284
