mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00119,m,India,RHESUS MACAQUE,864742,Whole Genome: Deep Coverage,SRR7865683,375725517
m00123,m,India,RHESUS MACAQUE,864749,Whole Genome: Deep Coverage,SRR7865682,278929974
m00132,f,India,RHESUS MACAQUE,864759,Whole Genome: Deep Coverage,SRR5794849,328274866
m00133,f,India,RHESUS MACAQUE,864761,Whole Genome: Deep Coverage,SRR5794848,306540126
m00134,f,India,RHESUS MACAQUE,864764,Whole Genome: Deep Coverage,SRR5794874,302991105
m00135,m,India,RHESUS MACAQUE,864765,Whole Genome: Deep Coverage,SRR5794806,324405329
m00136,f,India,RHESUS MACAQUE,864768,Whole Genome: Deep Coverage,SRR5795103,291818418
m00137,f,India,RHESUS MACAQUE,864770,Whole Genome: Deep Coverage,SRR5794961,288321095
m00138,m,India,RHESUS MACAQUE,864773,Whole Genome: Deep Coverage,SRR5795097,278007866
m00139,f,India,RHESUS MACAQUE,864774,Whole Genome: Deep Coverage,SRR5795099,332994579
m00140,m,India,RHESUS MACAQUE,864777,Whole Genome: Deep Coverage,SRR5794971,396955350
m00141,f,India,RHESUS MACAQUE,864778,Whole Genome: Deep Coverage,SRR5794987,364205086
m00142,f,India,RHESUS MACAQUE,864781,Whole Genome: Deep Coverage,SRR5794833,351163035
m00143,f,India,RHESUS MACAQUE,864782,Whole Genome: Deep Coverage,SRR5794807,391924999
m00144,f,India,RHESUS MACAQUE,864785,Whole Genome: Deep Coverage,SRR5794875,317076171
m00145,m,India,RHESUS MACAQUE,864786,Whole Genome: Deep Coverage,SRR5794911,325928215
m00146,f,India,RHESUS MACAQUE,864789,Whole Genome: Deep Coverage,SRR5794912,308015312
m00147,f,India,RHESUS MACAQUE,864790,Whole Genome: Deep Coverage,SRR5794913,284252883
m00148,f,India,RHESUS MACAQUE,864793,Whole Genome: Deep Coverage,SRR5794906,322642604
m00149,f,India,RHESUS MACAQUE,864795,Whole Genome: Deep Coverage,SRR5794842,291406851
m00150,f,India,RHESUS MACAQUE,864798,Whole Genome: Deep Coverage,SRR5794958,297365135
m00151,f,India,RHESUS MACAQUE,864799,Whole Genome: Deep Coverage,SRR5795074,311848700
m00152,f,India,RHESUS MACAQUE,864802,Whole Genome: Deep Coverage,SRR5794843,330839255
m00153,f,India,RHESUS MACAQUE,864803,Whole Genome: Deep Coverage,SRR5794851,354951786
m00154,f,India,RHESUS MACAQUE,864806,Whole Genome: Deep Coverage,SRR5794950,351143406
m00160,f,India,RHESUS MACAQUE,864814,Whole Genome: Deep Coverage,SRR7865728,367570677
m00213,m,India,RHESUS MACAQUE,864872,Whole Genome: Deep Coverage,SRR7865731,410986757
m00236,f,India,RHESUS MACAQUE,864896,Whole Genome: Deep Coverage,SRR7865685,290568210
m00246,f,India,RHESUS MACAQUE,864908,Whole Genome: Deep Coverage,SRR7865747,300332876
m00262,f,India,RHESUS MACAQUE,864933,Whole Genome: Deep Coverage,SRR7865775,304757235
m00277,f,India,RHESUS MACAQUE,864952,Whole Genome: Deep Coverage,SRR7865774,362715633
m00292,m,India,RHESUS MACAQUE,864968,Whole Genome: Deep Coverage,SRR7865773,314042420
m00293,m,India,RHESUS MACAQUE,864969,Whole Genome: Deep Coverage,SRR7865772,355199186
m00295,m,India,RHESUS MACAQUE,864974,Whole Genome: Deep Coverage,SRR7865730,377509707
m00296,f,India,RHESUS MACAQUE,864976,Whole Genome: Deep Coverage,SRR7865771,321512835
m00297,f,India,RHESUS MACAQUE,864977,Whole Genome: Deep Coverage,SRR7865684,285705432
