mgap_id,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m03838,m,unknown,Macaca mulatta,Whole Exome,"SRR1249198,SRR1249199",49649083
m03839,m,unknown,Macaca mulatta,Whole Exome,"SRR1249200,SRR1249201",83390226
m03840,m,unknown,Macaca mulatta,Whole Exome,"SRR1249202,SRR1249203",75928975
m03841,m,unknown,Macaca mulatta,Whole Exome,"SRR1249204,SRR1249205",63946706
m03842,m,unknown,Macaca mulatta,Whole Exome,"SRR1249206,SRR1249207",64549095
m03843,m,unknown,Macaca mulatta,Whole Exome,"SRR1249208,SRR1249209",49085391
m03844,m,unknown,Macaca mulatta,Whole Exome,"SRR1249210,SRR1249211",59716324
m03845,m,unknown,Macaca mulatta,Whole Exome,"SRR1249212,SRR1249213",46292920
m03846,m,unknown,Macaca mulatta,Whole Exome,"SRR1249214,SRR1249215",55797342
m03847,m,unknown,Macaca mulatta,Whole Exome,"SRR1249216,SRR1249217",91386579
m03848,m,unknown,Macaca mulatta,Whole Exome,"SRR1249218,SRR1249219",76990470
