mgap_id,primate_center,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m03613,ONPRC,,,,,,
m03610,ONPRC,m,India,RHESUS MACAQUE,,,
m03614,ONPRC,f,India,RHESUS MACAQUE,,,
m03611,ONPRC,,,,,,
m03624,ONPRC,,,,,,
m03612,ONPRC,,,,,,
m03621,ONPRC,,,,,,
m03623,ONPRC,,,,,,
m03617,ONPRC,,,,,,
m03616,ONPRC,,,,,,
m03607,ONPRC,,,,,,
m03619,ONPRC,,,,,,
m03609,ONPRC,,,,,,
m03620,ONPRC,,,,,,
m03622,ONPRC,,,,,,
m03608,ONPRC,,,,,,
m03618,ONPRC,,,,,,
